,Title,Predicted shares
77,"US unemployment rate spikes to 14.7 per cent, highest since Great Depression",13886.36
78,79-year-old woman buried by son in grave found alive after 3 days- The New Indian Express,22110.15
79,"Hong Kong gyms, bars, salons, cinemas reopen as coronavirus measures ease- The New Indian Express",18614.85
80,Revival in smartphone demand in India expected from Q3: IDC,13590.5
81,Revival in smartphone demand in India expected from Q3: IDC,13590.5
82,"SBI Card Q4 net plunges 66 per cent to Rs 84 crore on COVID-19 provisions, rise in expenses- The New Indian Express",14526.97
83,Need for non-collateralized reverse repo operations: SBI Report,15512.22
84,COVID-19 lockdown: Facebook to let most employees work from home till year-end,21174.43
85,"Malayali co-pilot, cabin crew happy to be part of Vande Bharat mission",15604.49
86,"Malayali co-pilot, cabin crew happy to be part of Vande Bharat mission",15604.49
87,States must look at change in COVID-19 testing strategy: Dr T Jacob John- The New Indian Express,21523.33
88,States must look at change in COVID-19 testing strategy: Dr T Jacob John- The New Indian Express,21523.33
89,High and dry: Celebrations and pall of gloom as TASMAC opens its shutters,14742.11
90,High and dry: Celebrations and pall of gloom as TASMAC opens its shutters,14733.11
91,"Best time to bring Business to Telangana, KTR tells European Body",13443.37
92,"Best time to bring Business to Telangana, KTR tells European Body",13649.37
93,"Vizag gas leak: Confusion, chaos and finally relief for many at hospitals",14521.52
94,"Vizag gas leak: Confusion, chaos and finally relief for many at hospitals",14521.52
95,No registration of individuals at check points- The New Indian Express,12098.6
96,No registration of individuals at check points- The New Indian Express,12098.6
97,Migrant workers leave Chennai in private buses,14241.44
98,Migrant workers leave Chennai in private buses,14891.44
99,"Moments of relief after days of stress, fear and panic for Athira",15872.31
100,"Moments of relief after days of stress, fear and panic for Athira",15872.31
101,First flight to state capital on May 9,17636.43
102,First flight to state capital on May 9,17636.43
103,Scientists use YouTube to reach vernacular audience,21703.32
104,Scientists use YouTube to reach vernacular audience,21703.32
105,Delhi sees surge of fresh coronavirus cases but lack of information,11236.67
106,Delhi sees surge of fresh coronavirus cases but lack of information,11236.67
107,"After all the hype, TIMS yet to admit a single patient",12755.14
108,"After all the hype, TIMS yet to admit a single patient",12755.14
109,Money Heist director Alex Rodrigo says Vijay would've been the 'Professor' in an Indian version- The New Indian Express,14286.14
110,Varun Dhawan chooses girlfriend Natasha over UFC,19900.06
111,Varun Dhawan chooses girlfriend Natasha over UFC,19900.06
112,'Four More Shots Please!' renewed for third season by Amazon,13509.78
113,'Four More Shots Please!' renewed for third season by Amazon,13509.78
114,Katy Perry announces first single 'Daisies' from new album 'KP5',18182.92
115,Katy Perry announces first single 'Daisies' from new album 'KP5',18182.92
116,WhatsApp forward or just fun? Big B sends birthday wishes to everybody today,17786.8
117,Queen's Brian May hospitalised after ripping glutes,17033.62
118,"Rupert Grint, Georgia Groome welcome baby girl",23012.23
119,Football to allow five substitutes during post-virus fixture backlog,15702.99
120,"Premier League not been given green light yet, says UK government official",16756.04
121,Brian Lara shares Suresh Raina's 'fan moment' in throwback image- The New Indian Express,17701.55
122,CSK brings back memories of MS Dhoni's long-hair days,16888.09
123,Chukkukapi offers a taste of knowledge,18188.58
124,Chukkukapi offers a taste of knowledge,18179.58
125,COVID-19: Facebook to warn users who 'liked' coronavirus hoaxes,11910.84
126,COVID-19: Facebook to warn users who 'liked' coronavirus hoaxes,11929.82
127,Let’s get grooming,16008.18
128,Let’s get grooming,16008.18
129,Caught in the web of trafficking,15589.39
130,What binds the human mind,15648.85
131,Japan’s first stopwatch,14471.8
132,The 'app' way of learning in this coronavirus lockdown,12581.09
133,Irrfan Khan: Death of an actor who got lifetimes to his act,13397.87
134,Coronavirus lockdown: Let’s limit ourselves to needs,12473.01
135,The meat analogue: Rise of meatless options with rise of veganism,13591.2
136,When big guns march in: Here's how global luxury brands are helping fight coronavirus surge,12960.79
137,"Lockdown 3.0: Chaos, confusion as thousands of migrants rush to board trains for home",21322.75
138,App helps farmers connect with consumers during extended COVID-19 lockdown,14061.09
139,Keeping eye on info: Visually-challenged Hemant Gauniya uses RTI to help distressed- The New Indian Express,23757.29
140,This Jharkhand man is changing face of primary education with innovative ideas,13346.68
141,Of quality masks and ration this coronavirus pandemic- The New Indian Express,13446.83
